DATA;Casos Confirmados;Casos em Monitoramento Domiciliar;Casos Suspeitos;Casos Descartados;Curados;Obitos;Pessoas em Recuperacao
31/mar;0;47;0;0;;;
01/abr;0;47;0;0;;;
02/abr;0;47;0;0;;;
03/abr;0;47;0;0;;;
04/abr;0;47;0;0;;;
06/abr;0;47;1;0;;;
07/abr;0;47;0;1;;;
08/abr;0;47;0;1;;;
09/abr;0;47;0;1;;;
10/abr;0;47;0;1;;;
11/abr;0;47;0;1;;;
13/abr;0;47;0;1;;;
14/abr;0;47;0;1;;;
15/abr;0;47;0;1;;;
16/abr;0;46;0;2;;;
17/abr;0;46;0;2;;;
18/abr;0;46;0;2;;;
19/abr;0;46;0;2;;;
20/abr;0;45;0;3;;;
21/abr;0;45;0;3;;;
22/abr;0;45;3;3;;;
23/abr;0;45;1;6;;;
24/abr;0;45;2;7;;;
25/abr;0;45;2;7;;;
26/abr;0;45;2;7;;;
27/abr;0;45;1;9;;;
28/abr;1;45;1;9;;;
29/abr;1;45;1;10;;;
30/abr;1;45;2;11;;;
01/mai;1;45;3;12;;;
02/mai;1;45;3;12;;;
03/mai;1;45;3;12;;;
04/mai;1;45;5;15;;;
05/mai;2;45;3;20;;;
06/mai;2;45;3;22;;;
07/mai;2;45;4;23;;;
08/mai;2;69;7;25;1;;
09/mai;2;69;7;27;1;;
10/mai;2;68;6;28;1;;
12/mai;2;54;12;33;1;;
11/mai;2;59;8;33;1;1;
13/mai;2;53;12;34;1;;
14/mai;4;53;11;48;1;;
15/mai;6;87;13;56;1;1;
16/mai;6;154;13;57;1;1;
17/mai;6;178;13;57;1;1;
18/mai;8;147;18;57;1;1;
19/mai;9;144;27;64;2;1;
20/mai;11;146;27;64;2;1;
21/mai;14;166;25;74;5;1;
22/mai;20;165;13;86;5;1;
23/mai;22;135;23;86;6;1;
24/mai;22;152;23;86;9;1;
25/mai;23;138;20;91;11;2;
26/mai;28;130;20;97;15;2;
27/mai;30;130;15;100;17;2;
28/mai;30;117;17;105;18;2;10
29/mai;37;121;17;106;19;2;16
30/mai;38;133;17;110;20;2;16
31/mai;38;120;17;110;20;2;16
01/jun;39;98;12;117;25;2;12
02/jun;41;103;16;117;28;2;11
03/jun;42;104;13;123;31;2;9
04/jun;42;100;11;125;32;2;8
05/jun;43;87;8;130;33;2;8
06/jun;43;86;8;131;34;2;7
07/jun;43;86;8;131;34;2;7
08/jun;44;88;4;140;35;2;7
09/jun;46;78;5;140;38;2;6
10/jun;47;76;7;141;39;2;6
11/jun;47;79;6;142;41;2;4
12/jun;48;77;6;142;41;2;5
13/jun;50;60;8;142;42;2;6
14/jun;51;61;8;142;42;2;7
15/jun;52;59;11;144;42;2;8
16/jun;55;65;11;146;43;2;10
17/jun;55;66;11;148;45;2;8
18/jun;55;67;11;150;46;2;7
19/jun;56;65;10;152;46;2;8
20/jun;57;66;10;152;47;2;8
21/jun;57;66;10;152;47;2;8
22/jun;59;55;11;154;52;2;5
23/jun;59;60;11;156;52;2;5
24/jun;;;;;;;
25/jun;;;;;;;
26/jun;;;;;;;
27/jun;;;;;;;
28/jun;;;;;;;
29/jun;;;;;;;
30/jun;;;;;;;
